210308-192901,hbase,25.625
210309-193401,hbase,25.625
210309-172401,hbase,25.625
210309-171901,hbase,25.625
210309-171401,hbase,25.625
210308-192901,hdfs,1.25
210309-193401,hdfs,1.25
210309-172401,hdfs,1.25
210309-171901,hdfs,1.25
210309-171401,hdfs,1.25
210309-131401,impala,38.0
210309-165901,impala,33.75
210309-170901,impala,31.5
210309-165401,impala,27.625
210309-170401,impala,27.625
210310-002402,yarn,11.625
210309-233401,yarn,11.5
210309-010401,yarn,10.0
210309-104401,yarn,7.875
210309-125401,yarn,6.625
